Date,ADT,AADT,PTRUCKS,85PCT,DIRECTION,GROUP
2021-04-21,13398.0,13600.0,8.345707070707071,102.70277777777778,T,A
2021-04-22,9367.0,9400.0,8.345707070707071,102.70277777777778,N,AA
2021-05-10,549.2222222222222,533.3333333333334,3.5,102.70277777777778,W,D
2021-05-11,533.1111111111111,522.2222222222222,11.25,102.70277777777778,T,C
2021-05-13,1730.142857142857,1707.142857142857,3.75,102.70277777777778,T,C
2021-05-17,2085.5714285714284,2020.0,8.345707070707071,102.70277777777778,T,B
2021-05-19,1266.375,1226.25,4.0,102.70277777777778,T,C
2021-05-20,6698.0,6422.5,13.0,102.70277777777778,W,A
2021-05-25,9823.666666666666,9170.0,8.345707070707071,102.70277777777778,W,A
2021-05-27,3377.8333333333335,3110.0,4.0,102.70277777777778,T,A
